POS,NEG,HAS_NO,HAS_EXCLAMATION,WORDS,PRONOUNS,LABEL
95,3,3,0,0,3.4011973816621555,4,negative
96,6,1,0,0,3.2188758248682006,4,negative
97,3,3,0,0,3.1780538303479458,2,negative
98,5,1,0,0,2.9444389791664403,4,negative
99,3,2,1,0,2.995732273553991,2,negative
101,7,4,0,0,3.367295829986474,4,negative
103,6,4,0,0,3.258096538021482,1,negative
104,11,2,1,0,3.367295829986474,4,negative
105,2,1,0,1,3.258096538021482,1,positive
106,4,1,0,0,2.833213344056216,2,negative
107,4,3,0,0,3.4011973816621555,4,negative
109,5,0,0,0,3.1354942159291497,0,positive
111,5,0,0,0,3.1354942159291497,0,positive
113,1,1,0,0,1.9459101490553132,0,positive
114,6,2,0,0,3.1354942159291497,3,positive
115,9,5,0,0,3.295836866004329,3,negative
116,7,2,0,0,3.2188758248682006,2,positive
117,1,0,0,1,3.091042453358316,2,positive
118,12,1,0,0,3.4657359027997265,4,positive
119,3,3,0,0,3.091042453358316,1,positive
120,7,7,0,1,3.332204510175204,0,negative
121,4,1,0,0,2.995732273553991,1,negative
122,4,3,0,0,2.995732273553991,1,negative
123,4,1,0,1,3.044522437723423,3,positive
124,5,2,0,1,3.295836866004329,5,positive
126,6,3,0,1,3.367295829986474,4,negative
127,6,4,0,0,3.1354942159291497,0,positive
130,3,2,0,0,2.995732273553991,3,negative
131,2,2,0,1,2.8903717578961645,2,negative
133,4,1,0,1,3.1354942159291497,5,negative
134,1,1,0,0,1.9459101490553132,0,negative
135,5,5,0,0,3.4339872044851463,1,negative
136,3,0,0,1,3.1354942159291497,4,positive
138,0,1,0,1,1.791759469228055,0,positive
139,6,2,0,1,3.295836866004329,4,negative
140,5,4,0,0,3.1780538303479458,2,negative
141,1,3,0,1,2.833213344056216,0,positive
143,6,2,0,0,3.332204510175204,2,negative
144,8,2,0,1,3.295836866004329,4,positive
145,9,2,1,0,3.367295829986474,4,negative
146,5,7,0,0,3.4657359027997265,5,negative
147,4,0,0,1,2.995732273553991,3,positive
148,6,0,0,1,3.1354942159291497,0,positive
149,7,4,0,0,3.1780538303479458,4,negative
150,4,1,0,0,2.6390573296152584,2,negative
152,1,0,0,0,2.70805020110221,1,positive
157,6,3,0,0,3.367295829986474,1,negative
158,2,2,0,1,2.8903717578961645,2,negative
159,4,4,0,1,3.295836866004329,4,negative
160,3,1,0,0,3.258096538021482,4,negative
161,4,1,0,0,3.4339872044851463,4,negative
162,2,2,0,1,2.995732273553991,1,negative
163,1,0,0,0,1.791759469228055,0,negative
164,6,3,1,0,3.295836866004329,1,negative
165,6,2,0,0,3.044522437723423,1,negative
167,3,1,1,0,2.70805020110221,1,negative
168,3,2,0,1,3.258096538021482,1,negative
173,3,0,0,0,3.295836866004329,4,negative
174,3,1,0,0,3.044522437723423,2,negative
176,1,0,0,0,1.791759469228055,1,positive
177,3,1,0,1,2.9444389791664403,2,negative
178,3,2,0,1,3.2188758248682006,2,negative
181,3,2,0,1,3.367295829986474,5,negative
182,2,4,1,0,3.4011973816621555,1,negative
183,2,1,0,0,3.1780538303479458,2,positive
184,1,1,0,1,2.302585092994046,0,positive
186,1,4,0,0,3.367295829986474,3,negative
187,7,0,0,0,2.995732273553991,3,negative
189,2,0,0,1,2.3978952727983707,2,positive
191,4,4,0,0,3.091042453358316,4,negative
192,1,0,0,1,1.3862943611198906,1,negative
193,1,0,0,1,1.0986122886681098,0,positive
194,1,1,0,0,2.0794415416798357,0,negative
195,3,6,1,0,3.4011973816621555,2,negative
196,4,2,0,0,2.6390573296152584,1,negative
197,6,1,0,0,3.258096538021482,5,negative
198,3,3,1,0,3.2188758248682006,2,negative
199,3,0,0,1,2.9444389791664403,5,positive
200,2,1,0,1,2.5649493574615367,2,negative
201,4,1,0,1,2.833213344056216,1,positive
203,3,3,0,1,2.772588722239781,2,positive
204,3,0,0,0,1.9459101490553132,0,positive
205,4,3,0,0,3.1354942159291497,3,positive
206,9,2,0,1,3.4339872044851463,1,positive
208,4,0,0,1,2.5649493574615367,1,positive
209,3,1,0,0,2.772588722239781,1,negative
210,6,3,0,0,3.258096538021482,2,negative
211,3,1,1,1,3.044522437723423,0,negative
212,0,0,0,1,2.772588722239781,4,positive
213,4,1,0,0,3.367295829986474,5,negative
214,4,0,0,0,3.258096538021482,1,negative
216,3,2,0,0,3.367295829986474,2,negative
217,7,1,0,0,3.1354942159291497,5,negative
218,3,2,0,0,3.367295829986474,4,negative
219,2,2,0,0,3.044522437723423,3,negative
220,5,2,0,0,3.4339872044851463,2,negative
221,6,0,0,0,3.1780538303479458,4,negative
222,4,0,0,1,3.1354942159291497,3,positive
223,5,3,0,0,3.091042453358316,4,positive
224,2,2,1,0,3.1780538303479458,1,negative
226,5,2,0,0,2.302585092994046,0,negative
227,0,0,0,0,1.0986122886681098,0,positive
228,2,0,0,0,1.791759469228055,0,negative
229,3,0,0,1,2.4849066497880004,1,positive
230,0,0,0,1,2.833213344056216,0,positive
231,2,0,0,1,1.6094379124341003,0,positive
232,0,1,0,0,2.5649493574615367,1,negative
233,0,2,0,1,2.995732273553991,0,positive
234,1,0,0,0,1.791759469228055,0,positive
235,9,2,0,1,3.2188758248682006,4,positive
236,2,1,0,0,2.995732273553991,1,negative
237,1,0,0,0,2.772588722239781,0,negative
238,0,0,0,1,2.833213344056216,3,positive
239,2,0,0,1,1.6094379124341003,0,positive
242,4,3,0,0,2.8903717578961645,1,negative
243,6,2,0,0,3.332204510175204,4,negative
244,0,0,0,0,2.0794415416798357,0,positive
245,5,3,0,0,3.295836866004329,2,negative
246,5,2,0,1,3.044522437723423,3,positive
247,2,0,0,1,2.3978952727983707,0,positive
248,5,2,0,1,3.332204510175204,1,positive
249,3,0,0,0,3.332204510175204,4,negative
250,3,1,0,0,2.772588722239781,0,negative
251,6,3,0,0,3.295836866004329,1,negative
252,4,2,0,0,2.995732273553991,1,positive
254,4,0,0,1,2.772588722239781,0,positive
258,5,4,0,1,3.295836866004329,4,positive
259,5,1,0,0,3.1354942159291497,0,negative
262,8,4,0,1,3.2188758248682006,2,negative
263,1,0,0,0,2.3978952727983707,3,negative
264,7,3,0,0,3.1354942159291497,3,positive
265,0,0,0,0,2.1972245773362196,0,negative
266,6,4,0,1,3.044522437723423,1,negative
269,1,0,0,0,2.0794415416798357,3,positive
272,1,1,0,1,2.302585092994046,1,positive
273,6,0,0,1,3.1780538303479458,4,positive
274,4,4,1,0,3.1780538303479458,2,negative
276,0,0,0,0,1.0986122886681098,0,positive
277,3,1,0,1,2.70805020110221,1,positive
280,5,0,0,0,3.258096538021482,2,negative
281,0,0,0,1,1.6094379124341003,1,positive
282,1,4,0,0,3.091042453358316,3,negative
287,6,1,1,1,3.332204510175204,2,negative
288,2,1,0,1,2.833213344056216,3,negative
289,6,2,0,0,3.091042453358316,2,negative
292,3,4,0,1,3.1780538303479458,4,negative
293,6,0,0,0,2.6390573296152584,1,positive
298,7,2,0,0,3.367295829986474,3,negative
301,3,0,0,0,2.772588722239781,2,negative
303,6,1,0,0,3.2188758248682006,1,positive
304,11,0,1,0,3.4965075614664802,4,negative
305,5,0,0,0,3.091042453358316,2,negative
306,6,0,0,1,3.4011973816621555,2,positive
307,4,1,0,1,2.772588722239781,2,positive
308,5,0,0,1,2.5649493574615367,2,positive
311,2,1,0,1,2.70805020110221,2,positive
313,2,0,0,1,2.0794415416798357,2,positive
314,3,1,0,0,2.302585092994046,1,negative
316,4,0,0,0,2.70805020110221,2,negative
317,4,1,0,0,2.772588722239781,3,negative
320,5,3,0,0,2.9444389791664403,1,negative
321,2,1,0,0,2.8903717578961645,0,negative
323,7,0,0,0,2.70805020110221,0,positive
324,1,0,0,1,1.3862943611198906,0,positive
329,4,2,1,0,3.295836866004329,3,negative
331,0,0,0,1,1.0986122886681098,0,positive
332,5,0,0,1,2.772588722239781,1,positive
333,2,0,0,1,2.772588722239781,0,positive
334,8,1,0,0,3.258096538021482,3,negative
335,5,4,0,0,3.1780538303479458,1,negative
338,7,1,1,0,3.332204510175204,1,negative
341,4,1,0,0,2.9444389791664403,3,positive
342,5,3,0,0,3.258096538021482,5,positive
344,3,1,0,0,2.70805020110221,1,negative
345,1,1,0,1,2.772588722239781,3,negative
346,3,3,1,0,3.1354942159291497,1,negative
347,5,0,0,1,3.091042453358316,1,positive
348,4,1,0,0,2.995732273553991,1,negative
349,9,0,0,0,3.332204510175204,4,negative
350,9,4,0,0,3.367295829986474,3,negative
351,0,2,0,0,2.3978952727983707,1,negative
353,5,4,1,0,3.091042453358316,4,negative
354,3,4,0,0,3.1780538303479458,4,negative
355,3,1,0,0,3.091042453358316,1,negative
358,4,2,0,1,3.044522437723423,1,positive
359,4,0,0,1,2.70805020110221,2,positive
362,3,1,0,1,2.9444389791664403,2,positive
363,3,0,0,1,2.302585092994046,1,positive
366,2,0,0,0,3.044522437723423,2,negative
367,3,2,0,0,2.833213344056216,1,negative
368,6,2,0,0,3.2188758248682006,1,negative
369,4,4,0,0,3.044522437723423,3,positive
370,5,0,0,1,3.258096538021482,3,negative
371,0,1,0,1,1.6094379124341003,0,negative
372,7,2,0,0,3.367295829986474,3,negative
374,1,1,0,1,2.9444389791664403,0,positive
375,7,2,0,0,3.4011973816621555,4,positive
376,4,1,0,1,2.9444389791664403,1,negative
378,2,2,0,1,3.332204510175204,4,positive
379,2,0,0,1,3.332204510175204,1,positive
381,3,3,0,1,3.258096538021482,2,positive
383,8,2,0,1,3.367295829986474,3,negative
384,3,1,0,0,3.1780538303479458,4,positive
385,3,0,0,1,2.6390573296152584,3,positive
391,2,0,0,0,2.70805020110221,0,positive
392,4,0,0,0,2.70805020110221,3,positive
394,6,4,0,0,3.332204510175204,3,negative
395,0,0,0,0,1.0986122886681098,1,positive
396,5,1,0,1,3.2188758248682006,3,negative
397,3,0,0,0,2.302585092994046,0,positive
398,4,3,0,1,3.332204510175204,5,negative
399,4,2,0,1,3.1780538303479458,4,negative
401,6,1,0,1,3.1780538303479458,2,positive
404,4,1,0,1,2.8903717578961645,2,positive
406,2,0,0,0,1.791759469228055,0,positive
407,5,0,0,0,3.044522437723423,1,negative
408,10,3,1,1,3.4657359027997265,0,negative
409,3,0,0,0,2.772588722239781,2,negative
411,3,1,0,0,2.5649493574615367,2,negative
412,1,0,0,1,2.1972245773362196,1,positive
415,2,0,0,0,2.4849066497880004,0,positive
416,2,0,0,1,2.70805020110221,1,positive
417,4,1,0,0,2.9444389791664403,2,negative
418,5,3,0,0,3.1354942159291497,2,negative
419,6,0,0,0,3.044522437723423,1,negative
421,3,6,0,1,3.367295829986474,3,positive
422,3,1,0,1,3.1354942159291497,4,positive
425,2,2,1,1,2.8903717578961645,2,negative
427,2,1,0,1,2.70805020110221,1,positive
429,7,4,0,1,3.367295829986474,3,positive
430,0,0,0,0,1.0986122886681098,0,positive
433,6,0,0,0,3.1354942159291497,4,negative
434,1,4,0,0,2.995732273553991,0,negative
436,1,0,0,1,2.70805020110221,1,positive
437,2,1,0,1,2.6390573296152584,0,positive
439,4,0,0,1,2.833213344056216,2,positive
440,3,0,0,0,2.772588722239781,1,positive
443,2,0,0,1,2.3978952727983707,0,positive
444,8,2,0,0,3.4011973816621555,4,negative
446,5,5,0,0,3.1780538303479458,0,negative
447,7,3,0,0,3.332204510175204,2,negative
448,6,1,1,1,3.5263605246161616,4,negative
449,5,4,0,0,3.332204510175204,3,negative
450,7,1,0,1,3.4011973816621555,4,negative
451,3,2,0,0,2.6390573296152584,2,positive
453,1,0,0,0,1.6094379124341003,1,positive
454,3,5,0,0,3.295836866004329,2,positive
455,3,2,0,0,3.1354942159291497,2,positive
457,3,2,0,0,2.8903717578961645,2,negative
459,5,3,0,0,2.995732273553991,1,positive
463,9,1,0,0,3.332204510175204,3,positive
464,4,2,0,0,3.1354942159291497,1,positive
465,2,1,0,0,2.3978952727983707,1,positive
466,7,0,0,0,3.2188758248682006,5,positive
467,3,0,0,1,2.772588722239781,3,positive
469,0,2,0,0,2.772588722239781,0,negative
470,3,0,0,0,2.6390573296152584,2,positive
475,3,0,0,1,2.5649493574615367,0,positive
476,2,2,0,0,2.995732273553991,2,positive
477,1,0,0,0,1.791759469228055,0,positive
479,2,5,0,0,3.1780538303479458,3,negative
480,4,2,0,0,3.1780538303479458,3,positive
481,3,1,0,1,3.2188758248682006,1,negative
484,3,2,0,1,3.295836866004329,1,negative
485,4,3,0,0,3.1780538303479458,2,negative
486,8,2,1,0,3.367295829986474,5,negative
487,7,3,0,0,3.332204510175204,2,negative
488,3,1,0,0,3.258096538021482,2,positive
490,1,2,0,1,2.4849066497880004,1,positive
491,5,2,0,1,2.772588722239781,1,positive
493,2,2,0,0,2.70805020110221,1,positive
494,3,1,0,0,2.70805020110221,2,negative
495,10,3,1,0,3.4011973816621555,1,negative
496,4,0,1,0,3.332204510175204,5,negative
498,3,1,0,0,3.044522437723423,1,positive
502,6,1,0,0,3.1354942159291497,2,positive
504,1,0,0,0,0.6931471805599453,0,positive
505,2,0,0,1,2.5649493574615367,0,positive
506,6,2,1,0,3.258096538021482,2,negative
507,7,3,0,0,3.295836866004329,1,negative
508,4,1,0,0,2.9444389791664403,5,positive
509,3,4,0,1,3.1780538303479458,2,negative
511,4,1,0,0,2.6390573296152584,3,negative
513,8,1,0,0,3.2188758248682006,3,negative
515,1,0,0,0,0.6931471805599453,0,positive
516,3,0,0,0,2.302585092994046,1,positive
518,5,1,0,0,3.295836866004329,2,negative
519,4,1,0,0,3.258096538021482,1,negative
520,7,5,0,1,3.4965075614664802,3,negative
521,2,0,0,0,2.1972245773362196,1,positive
523,6,5,0,0,3.4657359027997265,4,negative
526,1,0,0,0,2.4849066497880004,2,negative
527,8,1,0,0,3.258096538021482,3,positive
529,3,2,0,0,3.1354942159291497,4,negative
530,4,4,0,0,3.332204510175204,4,negative
533,0,1,0,1,2.5649493574615367,2,negative
534,3,2,0,0,2.70805020110221,1,negative
536,7,3,0,0,3.2188758248682006,2,negative
537,8,4,1,0,3.6375861597263857,5,negative
539,2,2,0,0,3.4011973816621555,3,negative
540,8,1,1,1,3.258096538021482,2,negative
541,2,0,0,0,2.772588722239781,0,negative
542,7,5,0,1,3.332204510175204,3,negative
543,7,3,0,0,3.2188758248682006,1,negative
544,2,1,0,0,2.833213344056216,3,negative
545,6,0,0,0,3.4339872044851463,1,negative
550,3,2,0,0,3.044522437723423,0,negative
552,5,2,0,0,3.295836866004329,7,positive
553,8,1,0,0,3.295836866004329,3,negative
554,7,4,0,0,3.2188758248682006,1,negative
555,8,3,0,0,3.4339872044851463,6,negative
557,5,2,0,0,2.9444389791664403,1,negative
558,6,0,0,1,3.332204510175204,1,positive
559,7,3,1,0,3.367295829986474,5,negative
560,6,3,0,0,3.295836866004329,2,negative
561,6,1,0,0,2.9444389791664403,1,negative
562,5,1,0,0,3.2188758248682006,4,positive
563,2,0,0,0,1.0986122886681098,0,negative
564,5,3,0,0,3.4339872044851463,3,negative
565,3,1,0,0,2.995732273553991,2,negative
566,7,2,0,1,3.367295829986474,2,negative
567,6,5,0,0,3.4011973816621555,3,negative
568,2,1,1,1,3.091042453358316,1,negative
569,5,3,1,0,3.4657359027997265,5,negative
570,8,2,0,0,3.258096538021482,3,negative
572,3,4,0,0,3.295836866004329,5,negative
573,4,0,0,1,3.4657359027997265,1,negative
574,2,1,0,0,2.0794415416798357,2,negative
575,2,2,0,0,3.1354942159291497,3,negative
578,1,1,0,1,2.4849066497880004,1,positive
579,6,1,0,0,3.1354942159291497,2,negative
580,4,2,0,0,3.332204510175204,5,negative
581,7,2,0,0,3.1780538303479458,2,negative
582,7,2,0,1,3.295836866004329,1,negative
583,0,0,0,1,3.367295829986474,2,negative
584,1,3,0,0,2.4849066497880004,1,negative
585,4,2,0,0,3.295836866004329,5,negative
586,6,1,0,0,3.2188758248682006,1,negative
587,6,0,0,0,3.091042453358316,1,negative
588,6,2,0,0,3.295836866004329,2,negative
589,4,3,0,0,3.367295829986474,2,positive
591,7,2,0,1,3.4339872044851463,7,negative
592,3,7,0,0,3.2188758248682006,2,negative
593,5,1,0,0,2.9444389791664403,4,negative
594,3,3,0,0,3.258096538021482,5,negative
595,5,4,0,0,3.4657359027997265,8,negative
596,6,3,0,0,3.4657359027997265,3,negative
597,5,0,0,0,3.044522437723423,0,negative
598,2,0,0,0,2.6390573296152584,0,positive
600,0,0,0,0,1.3862943611198906,0,positive
603,8,6,0,1,3.258096538021482,2,negative
604,5,1,0,0,3.332204510175204,4,negative
605,5,1,1,0,3.295836866004329,4,negative
606,2,2,0,1,3.295836866004329,0,negative
607,4,2,0,1,2.772588722239781,2,positive
608,7,2,0,0,3.295836866004329,1,negative
609,0,2,0,1,2.833213344056216,0,negative
610,1,1,0,0,1.9459101490553132,0,negative
611,5,2,0,0,3.1354942159291497,0,positive
614,11,2,1,1,3.4657359027997265,1,negative
616,4,3,0,0,3.2188758248682006,2,negative
618,4,1,0,0,3.258096538021482,4,negative
619,2,1,0,1,2.1972245773362196,0,negative
620,3,1,0,1,2.70805020110221,3,negative
621,4,3,0,1,3.367295829986474,3,negative
622,1,3,0,0,2.9444389791664403,0,negative
623,5,2,0,0,3.332204510175204,4,negative
624,4,1,0,0,2.772588722239781,3,negative
626,5,5,0,0,2.772588722239781,2,negative
627,8,4,0,0,3.1780538303479458,2,negative
630,3,2,1,1,3.044522437723423,2,negative
632,3,2,0,0,2.9444389791664403,3,negative
633,12,4,0,0,3.6109179126442243,5,negative
634,6,3,0,1,3.044522437723423,2,negative
635,4,3,0,0,3.258096538021482,6,negative
636,7,5,0,0,3.258096538021482,5,negative
637,5,2,0,0,3.295836866004329,5,negative
638,1,1,0,0,3.1780538303479458,6,negative
639,4,2,0,0,3.2188758248682006,3,negative
640,4,2,1,0,2.833213344056216,3,negative
642,7,2,0,0,3.295836866004329,2,negative
643,6,0,1,0,3.4011973816621555,6,negative
644,6,0,0,0,3.258096538021482,4,negative
646,3,5,0,0,3.091042453358316,2,negative
648,3,0,0,0,3.1354942159291497,3,negative
649,7,2,0,0,3.1780538303479458,3,negative
650,5,4,1,0,3.258096538021482,3,negative
651,2,2,0,0,2.70805020110221,1,negative
653,6,0,0,0,2.772588722239781,3,negative
654,8,1,0,0,3.2188758248682006,0,negative
655,8,1,0,0,3.4965075614664802,5,negative
656,6,0,1,0,2.833213344056216,2,negative
659,3,1,0,0,2.1972245773362196,2,negative
660,4,3,0,0,3.5553480614894135,6,negative
661,4,3,1,1,2.8903717578961645,0,negative
663,5,2,0,1,2.833213344056216,1,positive
664,3,3,0,1,3.4011973816621555,2,negative
665,5,1,0,1,2.833213344056216,2,negative
667,4,4,0,0,3.4339872044851463,2,negative
668,3,4,0,0,3.2188758248682006,3,negative
670,2,0,0,0,1.791759469228055,0,positive
671,3,5,0,0,3.4657359027997265,6,negative
672,1,1,0,0,2.3978952727983707,2,negative
673,1,1,0,0,2.3978952727983707,3,negative
674,5,5,0,0,3.4011973816621555,5,negative
675,3,1,0,0,2.5649493574615367,1,negative
676,3,2,0,0,3.1780538303479458,3,negative
677,4,2,0,0,3.1354942159291497,5,negative
678,8,4,0,0,3.5553480614894135,5,negative
680,4,0,0,0,3.295836866004329,0,positive
682,4,1,0,0,2.8903717578961645,2,negative
683,2,0,0,0,2.772588722239781,0,negative
684,6,6,0,0,3.258096538021482,2,negative
685,4,1,0,0,3.295836866004329,3,negative
686,0,0,0,0,1.791759469228055,1,negative
687,0,0,0,0,1.6094379124341003,0,positive
688,5,2,0,0,2.995732273553991,1,negative
689,5,1,0,0,3.1780538303479458,4,negative
690,2,2,0,0,2.9444389791664403,0,positive
691,2,0,0,1,2.6390573296152584,1,negative
693,5,0,0,0,2.4849066497880004,1,negative
694,8,1,1,0,3.044522437723423,0,negative
695,6,1,0,0,2.6390573296152584,0,positive
696,4,1,0,0,2.8903717578961645,1,negative
697,5,5,1,0,3.4965075614664802,7,negative
698,7,3,0,0,3.295836866004329,2,negative
699,8,2,0,1,3.1780538303479458,1,positive
700,4,3,0,0,3.258096538021482,3,negative
701,4,5,0,0,3.2188758248682006,3,negative
703,8,3,0,0,3.4339872044851463,5,negative
704,9,2,0,0,3.4657359027997265,5,negative
707,6,2,0,0,3.4011973816621555,1,negative
708,6,1,1,0,3.258096538021482,3,negative
709,1,1,0,0,2.8903717578961645,1,positive
710,4,3,0,1,3.295836866004329,5,negative
711,5,6,0,0,3.4011973816621555,1,negative
712,3,1,0,1,3.332204510175204,4,negative
713,4,2,0,0,3.1354942159291497,2,negative
714,2,0,0,0,2.302585092994046,1,negative
715,4,0,0,1,3.367295829986474,7,negative
716,2,1,0,0,2.6390573296152584,2,positive
717,5,3,0,0,2.9444389791664403,0,negative
718,5,3,0,0,3.4011973816621555,2,negative
720,12,0,0,0,3.4657359027997265,2,negative
721,7,4,0,1,3.367295829986474,4,positive
722,6,1,0,0,3.091042453358316,3,positive
723,11,1,0,1,3.332204510175204,2,positive
724,6,2,0,0,3.4657359027997265,7,negative
726,10,1,0,1,3.4339872044851463,4,negative
727,7,0,0,1,3.4339872044851463,8,negative
728,3,3,0,0,3.091042453358316,1,negative
729,8,2,0,0,3.4657359027997265,1,negative
730,3,1,0,1,2.833213344056216,0,negative
731,5,4,0,0,2.8903717578961645,2,negative
733,4,1,0,0,3.4965075614664802,6,negative
734,2,1,0,1,3.367295829986474,4,negative
735,2,0,0,0,2.0794415416798357,1,positive
736,4,2,0,0,3.4657359027997265,3,negative
737,3,3,0,0,3.258096538021482,3,negative
738,2,4,1,0,3.4339872044851463,2,negative
740,1,0,0,0,2.0794415416798357,1,negative
741,6,0,0,0,3.2188758248682006,2,negative
744,4,1,1,0,3.4339872044851463,5,negative
745,6,0,0,1,3.4011973816621555,4,positive
746,4,1,0,1,3.044522437723423,1,negative
747,4,2,0,0,2.772588722239781,5,negative
749,2,1,0,0,2.1972245773362196,1,negative
750,1,0,0,0,2.4849066497880004,2,negative
751,9,3,1,0,3.044522437723423,0,negative
752,5,4,0,0,3.2188758248682006,3,negative
754,9,4,1,0,3.367295829986474,4,negative
755,4,4,0,0,3.332204510175204,1,negative
756,5,0,1,0,2.995732273553991,3,negative
757,3,2,0,0,3.367295829986474,1,negative
758,3,4,0,1,3.4657359027997265,1,positive
759,8,3,0,0,3.295836866004329,1,negative
761,7,1,1,1,3.4657359027997265,1,negative
762,2,4,1,1,3.367295829986474,0,negative
763,6,1,0,0,3.4011973816621555,1,negative
764,7,3,0,0,3.5263605246161616,4,negative
765,5,2,0,0,3.332204510175204,2,negative
767,5,2,0,0,3.4339872044851463,6,negative
769,6,3,0,0,3.2188758248682006,1,negative
771,5,1,0,0,2.9444389791664403,3,negative
772,3,2,0,0,3.295836866004329,4,negative
773,7,3,0,0,3.5263605246161616,2,positive
774,4,5,0,0,3.258096538021482,2,negative
775,1,0,0,0,1.6094379124341003,0,positive
776,4,1,0,0,3.1780538303479458,2,negative
777,7,2,0,0,3.295836866004329,4,negative
778,5,2,0,0,3.295836866004329,2,negative
779,3,2,0,0,3.258096538021482,0,negative
781,0,1,0,1,1.3862943611198906,1,positive
782,1,0,0,0,1.791759469228055,1,positive
783,4,2,0,0,2.302585092994046,0,negative
785,5,0,0,0,2.772588722239781,4,negative
786,3,1,0,0,2.9444389791664403,1,negative
789,3,1,0,0,2.302585092994046,2,negative
790,2,2,0,0,2.772588722239781,1,negative
791,6,3,0,0,3.332204510175204,3,negative
792,7,4,0,0,3.295836866004329,2,negative
793,7,3,0,0,3.258096538021482,1,negative
795,6,3,0,0,3.367295829986474,5,negative
796,6,2,0,1,3.367295829986474,1,negative
797,2,4,0,0,3.2188758248682006,5,negative
798,7,1,0,0,3.295836866004329,2,negative
799,5,2,0,1,2.9444389791664403,3,positive
800,6,3,0,0,3.367295829986474,4,negative
801,5,0,0,0,3.332204510175204,3,negative
802,1,1,0,0,2.8903717578961645,1,negative
803,9,2,0,0,3.044522437723423,2,negative
804,7,4,0,1,3.332204510175204,3,negative
806,0,0,0,0,2.3978952727983707,2,positive
807,4,1,1,1,3.1354942159291497,2,negative
810,2,1,0,1,2.4849066497880004,1,negative
811,5,4,0,0,3.2188758248682006,3,negative
814,4,6,0,0,3.4657359027997265,4,negative
815,11,1,0,0,3.4011973816621555,0,negative
816,2,0,0,0,2.3978952727983707,2,negative
817,4,6,0,0,3.4011973816621555,3,negative
819,2,2,0,0,3.367295829986474,2,negative
820,9,2,0,1,3.4965075614664802,5,negative
821,4,1,0,0,2.9444389791664403,1,negative
823,2,3,0,0,3.258096538021482,2,negative
824,3,2,0,0,3.258096538021482,3,negative
825,9,6,1,0,3.5553480614894135,2,negative
826,5,2,0,1,3.4339872044851463,0,negative
827,3,2,0,0,3.295836866004329,5,negative
828,8,1,0,0,3.1780538303479458,1,negative
829,5,3,0,0,3.258096538021482,3,negative
830,4,1,0,0,2.5649493574615367,1,negative
831,5,3,1,0,3.367295829986474,3,negative
832,4,3,0,1,3.367295829986474,5,negative
833,3,2,0,1,3.2188758248682006,0,positive
